preco,area,salas,quartos,suites,banheiros,andar,garagens,iptu,condominio,portaria,distancia_metro,espaco_social,piscina,academia,lat,lng,ranking_escola,distancia_escola,renda_media,qtd_crimes_violentos,farmacias_proximas,supermercados_proximos,parques_proximos
750000.0,130,3,4,1,3,7.0,2,236.67,1000.0,1,665,1,1,1,-19.87610528,-43.93016754,67,0.531,2753,39,12,4,3
1100000.0,269,4,3,1,4,8.0,2,323.55,1340.0,1,745,1,1,1,-19.8765575,-43.9307684,67,0.582,2753,39,12,3,3
240000.0,67,1,2,0,1,9.0,1,82.0,475.0,1,826,1,1,0,-19.8774391,-43.93099875,67,0.681,2753,39,11,4,3
720000.0,125,3,4,1,3,4.0,2,251.0,820.0,1,816,1,1,1,-19.87765085,-43.93067078,67,0.702,2753,39,11,4,3
720000.0,130,2,4,1,2,3.0,2,313.0,1250.0,1,816,1,1,0,-19.8780989,-43.93016025,67,0.752,2753,39,12,5,3
250000.0,67,1,2,1,1,13.0,1,66.67,550.0,1,857,1,1,0,-19.8781612,-43.9306754,67,0.759,2753,39,12,4,3
230000.0,66,1,2,0,1,6.0,1,77.42,465.0,1,947,1,0,1,-19.87861092,-43.93141919,67,0.815,2753,39,11,4,2
240000.0,67,1,2,0,1,12.0,1,84.0,560.0,1,949,1,1,0,-19.87895195,-43.93104921,67,0.848,2753,39,10,4,3
310000.0,68,1,3,0,1,1.0,1,91.09,300.0,1,1448,0,0,0,-19.88336225,-43.93276111,89,0.711,1860,39,9,7,1
430000.0,95,2,3,1,2,1.0,2,140.0,200.0,0,1350,0,0,0,-19.88339876,-43.93084989,5,0.792,13323,39,9,6,1
390000.0,92,2,3,1,2,1.0,1,74.0,260.0,0,1586,0,0,0,-19.88426753,-43.93369977,89,0.619,1860,39,11,8,1
360000.0,100,2,3,0,2,3.0,2,107.81,400.0,0,1681,0,0,0,-19.884777,-43.934511,89,0.548,1860,39,11,7,1
755000.0,360,4,4,2,4,3.0,2,179.02,300.0,0,1825,0,0,0,-19.8871771,-43.9329643,5,0.395,13323,39,12,9,2
400000.0,90,3,3,1,3,6.0,2,260.0,750.0,1,1896,1,1,0,-19.88718774,-43.93434233,5,0.464,13323,39,11,8,2
980000.0,134,4,4,2,4,1.0,3,250.0,680.0,0,1794,0,1,0,-19.88751599,-43.931445,5,0.332,13323,39,12,8,3
530000.0,90,3,3,1,3,1.0,1,180.0,390.0,0,1879,0,0,0,-19.8878518,-43.93266697,5,0.314,13323,39,10,9,4
415000.0,91,3,3,1,3,2.0,1,104.95,300.0,0,1945,0,1,0,-19.8880799,-43.9336002,5,0.339,13323,39,12,9,4
370000.0,60,2,2,1,2,6.0,2,91.67,220.0,0,2028,0,0,0,-19.88879487,-43.93386065,5,0.301,13323,39,11,9,6
