preco,area,salas,quartos,suites,banheiros,andar,garagens,iptu,condominio,portaria,espaco_social,piscina,academia
750000.0,130,3,4,1,3,7.0,2,236.67,1000.0,1,1,1,1
1100000.0,269,4,3,1,4,8.0,2,323.55,1340.0,1,1,1,1
240000.0,67,1,2,0,1,9.0,1,82.0,475.0,1,1,1,0
720000.0,125,3,4,1,3,4.0,2,251.0,820.0,1,1,1,1
720000.0,130,2,4,1,2,3.0,2,313.0,1250.0,1,1,1,0
250000.0,67,1,2,1,1,13.0,1,66.67,550.0,1,1,1,0
230000.0,66,1,2,0,1,6.0,1,77.42,465.0,1,1,0,1
240000.0,67,1,2,0,1,12.0,1,84.0,560.0,1,1,1,0
310000.0,68,1,3,0,1,1.0,1,91.09,300.0,1,0,0,0
430000.0,95,2,3,1,2,1.0,2,140.0,200.0,0,0,0,0
390000.0,92,2,3,1,2,1.0,1,74.0,260.0,0,0,0,0
360000.0,100,2,3,0,2,3.0,2,107.81,400.0,0,0,0,0
755000.0,360,4,4,2,4,3.0,2,179.02,300.0,0,0,0,0
400000.0,90,3,3,1,3,6.0,2,260.0,750.0,1,1,1,0
980000.0,134,4,4,2,4,1.0,3,250.0,680.0,0,0,1,0
530000.0,90,3,3,1,3,1.0,1,180.0,390.0,0,0,0,0
415000.0,91,3,3,1,3,2.0,1,104.95,300.0,0,0,1,0
370000.0,60,2,2,1,2,6.0,2,91.67,220.0,0,0,0,0
370000.0,80,2,3,1,2,4.0,2,50.0,100.0,0,0,0,0
220000.0,72,1,3,0,1,5.0,1,70.0,180.0,0,0,0,0
300000.0,90,2,2,0,2,2.0,1,98.17,100.0,0,0,0,0
345000.0,79,1,2,0,1,1.0,1,41.67,240.0,1,1,1,0
232000.0,54,1,2,0,1,3.0,1,76.0,120.0,0,0,0,0
192200.0,45,1,2,0,1,3.0,1,36.67,150.0,0,0,0,0
273000.0,75,1,2,0,1,1.0,1,116.67,150.0,0,0,0,0
192000.0,45,1,2,0,1,3.0,1,36.67,150.0,0,0,0,0
192000.0,45,1,2,0,1,4.0,1,36.67,150.0,0,0,0,0
187000.0,45,1,2,0,1,4.0,1,37.0,150.0,0,0,0,0
288200.0,85,1,2,0,1,5.0,1,125.0,150.0,0,0,0,0
185000.0,45,1,2,0,1,3.0,1,100.0,150.0,0,0,1,0
151800.0,50,1,2,0,1,1.0,1,20.72,220.0,0,0,0,0
130000.0,56,1,3,0,1,3.0,1,66.67,100.0,0,0,0,0
249000.0,65,1,2,0,1,0.0,1,170.0,150.0,0,0,0,0
220000.0,56,2,2,1,2,2.0,1,100.0,189.0,0,0,0,0
220000.0,56,2,2,1,2,3.0,1,100.0,189.0,0,0,0,0
235000.0,80,2,2,1,2,1.0,1,107.0,189.0,0,0,0,0
212500.0,43,1,2,0,1,3.0,1,33.33,70.0,0,0,0,0
212500.0,43,1,2,0,1,4.0,1,400.0,70.0,0,0,0,0
193000.0,48,1,2,0,1,6.0,1,45.0,282.0,1,0,1,0
208000.0,50,1,2,0,1,0.0,1,45.0,282.0,1,0,1,0
195000.0,48,1,2,0,1,7.0,1,45.0,282.0,1,0,1,0
193000.0,48,1,2,0,1,4.0,1,45.0,282.0,1,0,1,0
180000.0,48,1,2,0,1,6.0,1,45.2,282.0,1,0,1,0
217000.0,47,1,2,0,1,4.0,1,45.2,288.52,1,0,1,0
179000.0,45,1,2,0,1,3.0,1,37.5,115.0,0,0,0,0
220500.0,105,1,2,0,1,5.0,2,70.83,70.0,1,0,0,0
250000.0,45,1,0,0,1,4.0,1,58.33,700.0,0,0,0,0
170000.0,50,1,2,0,1,3.0,1,70.83,250.0,0,0,0,0
160000.0,66,1,2,0,1,1.0,1,250.0,100.0,0,0,0,0
185000.0,47,2,2,1,2,2.0,1,29.17,200.0,0,0,0,0
201100.0,68,1,2,0,1,2.0,1,100.0,150.0,0,0,0,0
380000.0,140,2,3,1,2,3.0,2,112.08,100.0,0,0,0,0
341000.0,95,2,3,0,2,4.0,1,91.67,275.0,1,0,1,0
215000.0,67,1,3,0,1,1.0,2,870.0,190.0,1,0,1,0
160000.0,58,1,3,0,1,2.0,1,63.17,200.0,1,0,1,0
209501.0,61,1,2,0,1,2.0,1,48.37,250.0,0,0,1,0
268088.62,100,1,2,0,1,4.0,2,103.33,110.0,0,0,1,0
220000.0,61,1,2,0,1,2.0,1,75.0,120.0,0,0,1,0
170274.88,50,1,2,0,1,2.0,1,78.92,110.0,0,0,1,0
180000.0,50,1,2,0,1,3.0,1,78.92,110.0,0,0,1,0
179000.0,50,1,2,0,1,2.0,1,78.92,110.0,0,0,1,0
150000.0,45,1,2,0,1,3.0,0,34.04,60.0,0,0,0,0
135000.0,48,1,2,0,1,4.0,1,25.0,150.0,0,0,0,0
170000.0,47,1,2,0,1,4.0,1,33.0,210.0,0,0,0,0
155990.8,50,1,2,0,1,2.0,1,50.0,210.0,0,0,0,0
136500.0,50,1,2,0,1,2.0,1,33.33,190.0,1,0,0,0
160000.0,68,1,2,0,1,1.0,1,60.0,170.0,0,0,1,0
210000.0,57,1,2,0,1,1.0,1,66.67,225.0,0,0,1,0
159000.0,49,1,2,0,1,3.0,1,34.0,150.0,1,0,0,0
175000.0,56,1,2,0,1,1.0,1,38.77,180.0,0,0,1,0
179000.0,50,1,2,0,1,3.0,1,32.0,200.0,0,0,1,0
206243.31,69,1,2,0,1,1.0,1,35.0,200.0,0,0,1,0
162000.0,53,1,2,0,1,4.0,1,40.0,200.0,0,0,1,0
499000.0,110,2,3,1,2,2.0,2,100.0,250.0,0,0,0,0
295000.0,55,1,2,0,1,1.0,1,80.0,120.0,0,0,0,0
229000.0,55,1,2,0,1,2.0,1,80.0,120.0,0,0,0,0
229000.0,55,1,2,0,1,3.0,1,50.0,180.0,0,0,0,0
250000.0,101,1,2,0,1,1.0,1,91.0,120.0,0,0,0,0
309000.0,90,2,2,1,2,5.0,1,180.0,200.0,0,0,0,0
240000.0,50,2,2,0,2,4.0,1,100.0,120.0,0,0,0,0
189000.0,48,1,2,0,1,5.0,1,450.0,210.0,0,0,0,0
145000.0,47,1,2,0,1,1.0,1,66.67,150.0,0,0,0,0
373000.0,120,2,2,1,2,3.0,1,140.0,130.0,0,0,0,0
312300.0,85,1,2,0,1,5.0,1,84.0,200.0,0,0,0,0
353500.0,85,2,2,0,2,5.0,1,84.0,180.0,0,0,0,0
303000.0,71,1,2,0,1,2.0,1,40.0,180.0,0,0,0,0
