qtd_crimes_violentos,bairro
38,Barreiro
34,Tirol
24,Bairro das Indústrias I
20,Lindéia
19,Milionários
18,Diamante
12,Jatobá
11,Araguaia
11,Cardoso
9,Itaipu
9,Vale do Jatobá
8,Bonsucesso
8,Flávio Marques Lisboa
8,Independência
8,Mangueiras
8,Olaria
8,Olhos d'água
8,Pilar
8,Santa Helena
7,Mineirão
7,Santa Margarida
6,Brasil Industrial
6,Marilândia
5,Bairro Novo das Indústrias
5,Castanheira
5,CDI Jatobá
5,Petrópolis
4,Átila de Paiva
4,Flávio de Oliveira
4,Santa Cecília
3,Ademar Maldonado
3,Miramar
3,Novo Santa Cecília
3,Pongelupe Barreiro
3,Serra do Curral
3,Solar do Barreiro
3,Vila Batik
3,Vila Independência I
3,Vila Mangueiras
2,Bernadete
2,Conjunto Bonsucesso
2,Corumbiara
2,Teixeira Dias
2,Vila Átila de Paiva
2,Vila CEMIG
2,Vila Ecológica
2,Vila Pinho
2,Vitória da Conquista
1,Águas Claras
1,Alta Tensão I
1,Conjunto Jatobá
1,Distrito Industrial do Jatobá
1,Jardim Industrial
1,João Paulo II
1,Túnel de Ibirité
1,Vila Pilar
1,Vila Piratininga
474,Centro
65,Savassi
60,Serra
55,Funcionários
50,Lourdes
38,Barro Preto
30,Santo Antônio
29,Santo Agostinho
27,Sion
22,Anchieta
20,Cruzeiro
19,Boa Viagem
19,São Pedro
13,Santa Lúcia
12,Belvedere
9,Mangabeiras
8,Carmo
8,Coração de Jesus
7,Cidade Jardim
7,Nossa Senhora de Fátima
7,São Lucas
6,Luxemburgo
6,São Bento
5,Santa Rita de Cássia
5,Vila Barragem Santa Lúcia
4,Vila Paris
3,Comiteco
2,Fazendinha
2,Monte São José
2,Nossa Senhora da Aparecida
2,Novo São Lucas
2,Santana do Cafezal
2,Vila Novo São Lucas
1,Acaba Mundo
1,Estrela
1,Nossa Senhora da Conceição
1,Vila Bandeirantes
71,Floresta
76,Santa Efigênia
54,Colégio Batista
37,Sagrada Família
35,Santa Tereza
31,Boa Vista
28,Santa Inês
26,São Geraldo
20,Paraíso
18,Alto Vera Cruz
17,Conjunto Taquaril
17,Horto
15,Nova Vista
14,Esplanada
13,Saudade
12,Granja de Freitas
12,Pompeia
10,Casa Branca
10,Horto Florestal
8,Taquaril
7,Vera Cruz
6,Baleia
5,Jonas Veiga
4,Mariano de Abreu
4,Pirineus
1,Caetano Furquim
1,Cidade Jardim Taquaril
1,Vila Boa Vista
1,Vila Vera Cruz I
56,União
50,Cachoeirinha
39,Ipiranga
39,São Gabriel
38,Goiânia
36,Jardim Vitória
35,Santa Cruz
32,Palmares
31,Cidade Nova
24,São Paulo
23,Ribeiro de Abreu
22,Concórdia
22,Canadá
22,Nazaré
20,Eymard
17,Maria Goretti
15,Dom Joaquim
13,Fernão Dias
13,Renascença
12,Dom Silvério
10,Graça
10,Pousada Santo Antônio
9,Ouro Minas
9,Pirajá
8,Belmonte
8,Paulo VI
7,Ipê
7,Nova Floresta
7,São Marcos
6,Maria Virgínia
6,Silveira
6,Vila São Gabriel Jacuí
6,Vista do Sol
6,Vitória
5,Beira-Linha
5,Penha
5,Vila Maria
4,Acaiaca
3,Capitão Eduardo
3,Vila São Paulo
2,Bela Vitória
2,Conjunto Paulo VI
2,Três Marias
2,Vila da Paz
1,Andiroba
1,Beija Flor
1,São Benedito
1,Vila Esplanada
1,Vila Inestan
59,Lagoinha
75,Carlos Prates
57,Padre Eustáquio
49,Caiçaras
46,Pindorama
30,Dom Bosco
30,Álvaro Camargos
30,Glória
27,Bonfim
23,Aparecida
22,Califórnia
21,Coração Eucarístico
20,Alípio de Melo
20,São Salvador
18,Jardim Montanhês
18,São Cristóvão
16,Coqueiros
15,Santo André
14,João Pinheiro
14,Novo Glória
13,Aparecida Sétima Seção
13,Nova Cachoeirinha
12,Dom Cabral
11,Alto dos Pinheiros
10,Ermelinda
9,Monsenhor Messias
8,Caiçara-Adelaide
7,Alto Caiçaras
7,Conjunto Califórnia I
7,Conjunto California II
7,Minas Brasil
5,Bom Jesus
5,Conjunto Jardim Filadélfia
3,Pedreira Prado Lopes
2,Nova Esperança
2,Sumaré
2,Vila Maloca
1,São Francisco das Chagas
1,Vila Califórnia
1,Vila Coqueiral
48,Jaqueline
46,Vila Clóris
45,Floramar
33,Planalto
29,Jardim Guanabara
26,Tupi B
23,Guarani
21,Juliana
19,Minaslândia
17,Heliópolis
16,Novo Aarão Reis
15,Tupi A
12,Granja Werneck
10,Jardim Felicidade
10,São Tomáz
9,Aarão Reis
9,São Bernardo
8,Frei Leopoldo
8,Monte Azul
8,Primeiro de Maio
8,Providência
8,Vila Primeiro de Maio
7,Etelvina Carneiro
6,Lajedo
6,Novo Tupi
4,Xodó-Marize
4,Zilah Spósito
3,Satélite
2,Campo Alegre
2,Mariquinhas
2,Vila Aeroporto
1,Biquinhas
1,Boa União II
1,São Gonçalo
1,Solimões
33,Prado
27,Camargos
27,Nova Suíssa
24,Buritis
22,Estoril
20,Betânia
20,Gutierrez
17,Jardinópolis
17,Oeste
16,Madre Gertrudes
15,Calafate
14,Havaí
14,Salgado Filho
12,Vila Vista Alegre
11,Cabana do Pai Tomás
11,Jardim América
11,Nova Cintra
11,Vista Alegre
10,Palmeiras
9,Alto Barroca
9,Estrela do Oriente
9,Nova Granada
8,Cinquentenário
8,Nova Gameleira
6,Bairro das Indústrias II
6,Barroca
6,Gameleira
5,Santa Maria
5,Ventosa
5,Vila Madre Gertrudes III
4,Grajaú
3,Alpes
3,Parque São José
3,Santa Sofia
3,Vila Calafate
2,São Jorge III
2,Vila Madre Gertrudes V
2,Vila Nova Gameleira I
2,Vila Oeste
1,Ambrosina
1,Custodinha
1,Leonina
1,Marajó
1,São Jorge I
1,São Jorge II
1,Vila Antena
1,Vila Nova Gameleira II
1,Vila Nova Gameleira III
1,Virgínia
69,São Luíz
66,Céu Azul
52,Santa Amélia
47,São Francisco
40,Castelo
40,Serrano
39,Jardim Atlântico
35,Santa Terezinha
29,Ouro Preto
29,Santa Branca
27,Dona Clara
23,Bandeirantes
19,Itapoã
18,Santa Rosa
14,São José
13,Jardim Alvorada
13,Jardim São José
13,Universitário
12,Inconfidência
12,Liberdade
12,Paquetá
10,Campus UFMG
10,Indaiá
9,Trevo
9,Urca
8,Itatiaia
8,Suzana
7,Braúnas
7,Jaraguá
6,Confisco
6,Conjunto Celso Machado
6,Engenho Nogueira
5,Garças
5,Manacás
4,Aeroporto
3,Vila Santo Antônio
2,Lagoa da Pampulha
2,Vila Jardim Alvorada
2,Vila Jardim São José
2,Vila Santa Rosa
2,Xangri-lá
1,Conjunto Lagoa
1,Vila Engenho Nogueira
1,Vila Real II
1,Vila Suzana I
62,Mantiqueira
48,Piratininga
39,Rio Branco
36,Santa Mônica
36,Venda Nova
34,Jardim dos Comerciários
29,Letícia
27,Copacabana
26,Serra Verde
21,Candelária
21,Minascaixa
20,Jardim Leblon
20,São João Batista
18,Lagoa
17,Europa
17,Lagoinha Leblon
17,Parque São Pedro
13,Maria Helena
11,Canaã
6,Apolônia
4,Cenáculo
3,São Damião
1,Conjunto Minascaixa
1,Conjunto Serra Verde
1,Jardim Europa
1,Leblon
1,Nova América
1,Vila Mantiqueira
1,Vila Santa Mônica
1,Universo
